node	mat	pat	mat:pat	color
utig4-265	0	0	0:0	#AAAAAA
utig4-266	3	0	3:0	#AAAAAA
utig4-267	739	366550	739:366550	#8888FF
utig4-268	474390	363	474390:363	#FF8888
utig4-269	25	8047	25:8047	#8888FF
utig4-270	3247	6	3247:6	#FF8888
utig4-271	17	0	17:0	#AAAAAA
utig4-272	1236	5	1236:5	#FF8888
utig4-273	24	0	24:0	#AAAAAA
utig4-274	24	0	24:0	#AAAAAA
utig4-275	24	0	24:0	#AAAAAA
utig4-276	24	0	24:0	#AAAAAA
utig4-277	24	0	24:0	#AAAAAA
utig4-278	24	0	24:0	#AAAAAA
utig4-279	75178	0	75178:0	#FF8888
utig4-280	73	0	73:0	#AAAAAA
utig4-281	70	0	70:0	#AAAAAA
utig4-282	53	0	53:0	#AAAAAA
utig4-283	53	0	53:0	#AAAAAA
utig4-284	70	0	70:0	#AAAAAA
utig4-285	77	0	77:0	#AAAAAA
utig4-286	49	0	49:0	#AAAAAA
utig4-287	49	0	49:0	#AAAAAA
utig4-288	53	0	53:0	#AAAAAA
utig4-289	53	0	53:0	#AAAAAA
utig4-290	11	2	11:2	#AAAAAA
utig4-291	470	130169	470:130169	#8888FF
utig4-292	150729	200	150729:200	#FF8888
utig4-293	35199	34	35199:34	#FF8888
utig4-294	12	17321	12:17321	#8888FF
utig4-295	60	37	60:37	#AAAAAA
utig4-296	29	8	29:8	#AAAAAA
utig4-297	7	0	7:0	#AAAAAA
utig4-298	7	0	7:0	#AAAAAA
utig4-299	36	0	36:0	#AAAAAA
utig4-300	55	0	55:0	#AAAAAA
utig4-301	7	0	7:0	#AAAAAA
utig4-302	7	0	7:0	#AAAAAA
utig4-303	55	0	55:0	#AAAAAA
utig4-304	36	0	36:0	#AAAAAA
utig4-305	24	0	24:0	#AAAAAA
utig4-306	7	0	7:0	#AAAAAA
utig4-307	48	0	48:0	#AAAAAA
utig4-308	21	0	21:0	#AAAAAA
utig4-309	9	0	9:0	#AAAAAA
utig4-310	0	45	0:45	#AAAAAA
utig4-311	0	257	0:257	#8888FF
utig4-312	0	24	0:24	#AAAAAA
utig4-313	0	129	0:129	#8888FF
utig4-314	0	0	0:0	#AAAAAA
utig4-315	4	0	4:0	#AAAAAA
utig4-316	22387	50	22387:50	#FF8888
utig4-317	162	22045	162:22045	#8888FF
utig4-318	70	0	70:0	#AAAAAA
utig4-319	113	0	113:0	#FF8888
utig4-320	78	0	78:0	#AAAAAA
utig4-321	78	0	78:0	#AAAAAA
utig4-322	148	0	148:0	#FF8888
utig4-323	78	0	78:0	#AAAAAA
utig4-324	0	0	0:0	#AAAAAA
utig4-325	109	14003	109:14003	#8888FF
utig4-326	12415	64	12415:64	#FF8888
utig4-327	214326	445	214326:445	#FF8888
utig4-328	204	23458	204:23458	#8888FF
utig4-329	125818	407	125818:407	#FF8888
utig4-330	619	140820	619:140820	#8888FF
utig4-331	0	22	0:22	#AAAAAA
utig4-332	0	0	0:0	#AAAAAA
utig4-333	0	0	0:0	#AAAAAA
utig4-334	0	0	0:0	#AAAAAA
utig4-335	0	0	0:0	#AAAAAA
utig4-336	19	0	19:0	#AAAAAA
utig4-337	77	0	77:0	#AAAAAA
utig4-338	77	0	77:0	#AAAAAA
utig4-339	77	0	77:0	#AAAAAA
utig4-340	67	0	67:0	#AAAAAA
utig4-341	65	0	65:0	#AAAAAA
utig4-342	80	0	80:0	#AAAAAA
utig4-343	77	0	77:0	#AAAAAA
utig4-344	17	0	17:0	#AAAAAA
utig4-345	17	0	17:0	#AAAAAA
utig4-346	10	0	10:0	#AAAAAA
utig4-347	82	0	82:0	#AAAAAA
utig4-348	58	0	58:0	#AAAAAA
utig4-349	67	0	67:0	#AAAAAA
utig4-350	58	0	58:0	#AAAAAA
utig4-351	0	34	0:34	#AAAAAA
utig4-352	0	66	0:66	#AAAAAA
utig4-353	0	24	0:24	#AAAAAA
utig4-354	0	0	0:0	#AAAAAA
utig4-355	0	0	0:0	#AAAAAA
utig4-356	0	0	0:0	#AAAAAA
utig4-357	0	0	0:0	#AAAAAA
utig4-358	20	0	20:0	#AAAAAA
utig4-359	0	16	0:16	#AAAAAA
utig4-360	0	16	0:16	#AAAAAA
utig4-361	0	0	0:0	#AAAAAA
utig4-362	0	0	0:0	#AAAAAA
